
Image Name                     PID Session Name        Session#    Mem Usage
========================= ======== ================ =========== ============
System Idle Process              0 Services                   0          8 K
System                           4 Services                   0        120 K
Registry                        92 Services                   0     31,788 K
smss.exe                       368 Services                   0        232 K
csrss.exe                      504 Services                   0      2,908 K
wininit.exe                    588 Services                   0      1,520 K
services.exe                   724 Services                   0      5,732 K
lsass.exe                      732 Services                   0     14,392 K
svchost.exe                    848 Services                   0     22,052 K
fontdrvhost.exe                868 Services                   0      1,308 K
svchost.exe                    960 Services                   0     18,956 K
svchost.exe                   1016 Services                   0      9,720 K
svchost.exe                   1132 Services                   0     11,908 K
svchost.exe                   1140 Services                   0      8,000 K
svchost.exe                   1188 Services                   0     14,752 K
svchost.exe                   1356 Services                   0     14,048 K
svchost.exe                   1380 Services                   0     12,712 K
svchost.exe                   1464 Services                   0      2,964 K
svchost.exe                   1524 Services                   0      3,688 K
svchost.exe                   1616 Services                   0      3,880 K
svchost.exe                   1628 Services                   0      3,732 K
svchost.exe                   1636 Services                   0      1,348 K
svchost.exe                   1708 Services                   0      5,732 K
svchost.exe                   1772 Services                   0      4,320 K
Memory Compression            1828 Services                   0     14,056 K
svchost.exe                   1868 Services                   0      7,276 K
igfxCUIService.exe            1924 Services                   0      2,928 K
svchost.exe                    864 Services                   0      7,772 K
svchost.exe                   1952 Services                   0      3,732 K
svchost.exe                   2072 Services                   0      2,900 K
svchost.exe                   2080 Services                   0      5,276 K
svchost.exe                   2192 Services                   0     14,092 K
svchost.exe                   2240 Services                   0      8,248 K
svchost.exe                   2276 Services                   0      3,376 K
svchost.exe                   2332 Services                   0     10,512 K
svchost.exe                   2444 Services                   0      2,148 K
svchost.exe                   2592 Services                   0     11,896 K
svchost.exe                   2688 Services                   0      9,124 K
svchost.exe                   2696 Services                   0      8,148 K
svchost.exe                   2712 Services                   0     10,868 K
svchost.exe                   2820 Services                   0      6,440 K
spoolsv.exe                   2940 Services                   0      3,864 K
svchost.exe                   3020 Services                   0      3,740 K
svchost.exe                   3032 Services                   0     11,092 K
svchost.exe                   1332 Services                   0      2,576 K
svchost.exe                   1988 Services                   0     10,864 K
svchost.exe                   2804 Services                   0      7,644 K
svchost.exe                   1316 Services                   0     20,512 K
svchost.exe                   1896 Services                   0     22,780 K
svchost.exe                   1668 Services                   0      2,172 K
svchost.exe                   1796 Services                   0      5,160 K
svchost.exe                   3080 Services                   0      1,168 K
svchost.exe                   3104 Services                   0      3,300 K
svchost.exe                   3112 Services                   0      1,436 K
RtkBtManServ.exe              3128 Services                   0      2,560 K
svchost.exe                   3144 Services                   0      2,880 K
MpDefenderCoreService.exe     3152 Services                   0     10,772 K
svchost.exe                   3192 Services                   0      1,304 K
SynTPEnhService.exe           3208 Services                   0      1,692 K
svchost.exe                   3244 Services                   0     16,280 K
MsMpEng.exe                   3300 Services                   0    207,564 K
svchost.exe                   3572 Services                   0      4,448 K
svchost.exe                   3692 Services                   0      1,780 K
dllhost.exe                   4100 Services                   0      5,840 K
SearchIndexer.exe             4720 Services                   0     16,772 K
svchost.exe                   4752 Services                   0      7,852 K
svchost.exe                   4976 Services                   0      9,760 K
svchost.exe                   4084 Services                   0      7,472 K
svchost.exe                   2164 Services                   0     11,228 K
svchost.exe                   5092 Services                   0      9,556 K
svchost.exe                   4648 Services                   0      8,008 K
svchost.exe                   1440 Services                   0      8,784 K
AggregatorHost.exe            4248 Services                   0      7,484 K
svchost.exe                   3204 Services                   0     11,072 K
svchost.exe                   3772 Services                   0      2,144 K
svchost.exe                   5488 Services                   0     15,120 K
svchost.exe                   5560 Services                   0      8,324 K
svchost.exe                   6020 Services                   0      8,460 K
svchost.exe                   3396 Services                   0      7,304 K
MoUsoCoreWorker.exe           6844 Services                   0     20,848 K
SecurityHealthService.exe     7152 Services                   0      7,680 K
svchost.exe                   8028 Services                   0      4,264 K
svchost.exe                   8992 Services                   0      7,348 K
svchost.exe                   5156 Services                   0      5,800 K
svchost.exe                   5628 Services                   0      1,844 K
svchost.exe                  11280 Services                   0      3,924 K
csrss.exe                    10836 Console                    2      4,512 K
